# format_version: 1
# kind	id	iri	label	aliases	parents	ontology	role	component_family	sequence_family	table1	table2
term	CHEBI:139246	https://identifiers.org/CHEBI:139246	peptide probe	http://purl.obolibrary.org/obo/CHEBI_139246	CHEBI:50406	CHEBI	feature_role	-	-	false	false
term	CHEBI:139338	https://identifiers.org/CHEBI:139338	EC 1.14.17.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen and with reduced ascorbate as one donor, and incorporation of one atom of oxygen) inhibitor	http://purl.obolibrary.org/obo/CHEBI_139338	CHEBI:76741	CHEBI	feature_role	-	-	false	false
term	CHEBI:139339	https://identifiers.org/CHEBI:139339	EC 1.14.17.1 (dopamine beta-monooxygenase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_139339	CHEBI:139338	CHEBI	feature_role	-	-	false	false
term	CHEBI:139361	https://identifiers.org/CHEBI:139361	TRP channel blocker	http://purl.obolibrary.org/obo/CHEBI_139361	CHEBI:142783|CHEBI:38632	CHEBI	feature_role	-	-	false	false
term	CHEBI:139492	https://identifiers.org/CHEBI:139492	sensitiser	http://purl.obolibrary.org/obo/CHEBI_139492	CHEBI:52209	CHEBI	feature_role	-	-	false	false
term	CHEBI:139503	https://identifiers.org/CHEBI:139503	vitamin D receptor agonist	http://purl.obolibrary.org/obo/CHEBI_139503	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:139512	https://identifiers.org/CHEBI:139512	EC 1.3.1.9 [enoyl-[acyl-carrier-protein] reductase (NADH)] inhibitor	http://purl.obolibrary.org/obo/CHEBI_139512	CHEBI:76857	CHEBI	feature_role	-	-	false	false
term	CHEBI:139556	https://identifiers.org/CHEBI:139556	EC 4.1.1.17 (ornithine decarboxylase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_139556	CHEBI:76906	CHEBI	feature_role	-	-	false	false
term	CHEBI:139566	https://identifiers.org/CHEBI:139566	Jacobaea metabolite	http://purl.obolibrary.org/obo/CHEBI_139566	CHEBI:76924	CHEBI	feature_role	-	-	false	false
term	CHEBI:139584	https://identifiers.org/CHEBI:139584	lysophosphatidic acid receptor 3 agonist	http://purl.obolibrary.org/obo/CHEBI_139584	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:139609	https://identifiers.org/CHEBI:139609	survivin suppressant	http://purl.obolibrary.org/obo/CHEBI_139609	CHEBI:68495	CHEBI	feature_role	-	-	false	false
term	CHEBI:140061	https://identifiers.org/CHEBI:140061	TRPV4 agonist	http://purl.obolibrary.org/obo/CHEBI_140061	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:140160	https://identifiers.org/CHEBI:140160	Camellia sinensis metabolite	http://purl.obolibrary.org/obo/CHEBI_140160	CHEBI:76924	CHEBI	feature_role	-	-	false	false
term	CHEBI:140165	https://identifiers.org/CHEBI:140165	Brassica napus metabolite	http://purl.obolibrary.org/obo/CHEBI_140165	CHEBI:76924	CHEBI	feature_role	-	-	false	false
term	CHEBI:140190	https://identifiers.org/CHEBI:140190	calcium-dependent antibiotics	http://purl.obolibrary.org/obo/CHEBI_140190	CHEBI:33281	CHEBI	feature_role	-	-	false	false
term	CHEBI:140378	https://identifiers.org/CHEBI:140378	EC 1.1.1.37 (malate dehydrogenase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_140378	CHEBI:76835	CHEBI	feature_role	-	-	false	false
term	CHEBI:140399	https://identifiers.org/CHEBI:140399	specialised pro-resolving mediator	http://purl.obolibrary.org/obo/CHEBI_140399	CHEBI:24432|CHEBI:62488|CHEBI:67079	CHEBI	feature_role	-	-	false	false
term	CHEBI:140482	https://identifiers.org/CHEBI:140482	neurokinin-3 receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_140482	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:140489	https://identifiers.org/CHEBI:140489	tropomyosin-related kinase B receptor agonist	http://purl.obolibrary.org/obo/CHEBI_140489	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:140535	https://identifiers.org/CHEBI:140535	TRPV1 agonist	http://purl.obolibrary.org/obo/CHEBI_140535	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:140602	https://identifiers.org/CHEBI:140602	Arabidopsis thaliana metabolite	http://purl.obolibrary.org/obo/CHEBI_140602	CHEBI:76924	CHEBI	feature_role	-	-	false	false
term	CHEBI:140701	https://identifiers.org/CHEBI:140701	secreted frizzled-related protein 1 inhibitor	http://purl.obolibrary.org/obo/CHEBI_140701	CHEBI:35222	CHEBI	feature_role	-	-	false	false
term	CHEBI:140921	https://identifiers.org/CHEBI:140921	Hedgehog signaling pathway inhibitor	http://purl.obolibrary.org/obo/CHEBI_140921	CHEBI:76932	CHEBI	feature_role	-	-	false	false
term	CHEBI:140922	https://identifiers.org/CHEBI:140922	glioma-associated oncogene inhibitor	http://purl.obolibrary.org/obo/CHEBI_140922	CHEBI:35222	CHEBI	feature_role	-	-	false	false
term	CHEBI:140982	https://identifiers.org/CHEBI:140982	neuropeptide FF receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_140982	CHEBI:48706	CHEBI	feature_role	-	-	false	false
